rank,Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Cam Schlittler,NYY,2.0,1.0,1.951807273768397,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,27.2,105.0,18.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0
2,José Soriano,LAA,5.0,0.0,0.27551020944381654,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,32.2,120.0,11.0,1.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,39.0
3,Braxton Ashcraft,PIT,1.0,1.0,2.3823530079996726,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.2,91.0,17.0,9.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,27.0
4,Joe Ryan,MIN,2.0,2.0,3.292682965123746,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,27.1,107.0,18.0,12.0,10.0,1.0,6.0,0.0,2.0,1.0,0.0,28.0
5,Bryan Woo,SEA,0.0,2.0,2.16,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,97.0,18.0,8.0,6.0,0.0,5.0,0.0,1.0,0.0,1.0,20.0
6,Seth Lugo,KCR,1.0,1.0,1.479452132104959,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,24.1,92.0,18.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0
7,Jeffrey Springs,ATH,3.0,0.0,1.459459497077001,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,24.2,91.0,11.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,20.0
8,Parker Messick,CLE,3.0,0.0,1.051948078005607,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,25.2,93.0,13.0,3.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,25.0
9,Taj Bradley,MIN,3.0,0.0,1.2461538827207677,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,21.2,93.0,19.0,3.0,3.0,0.0,8.0,0.0,2.0,1.0,0.0,29.0
10,Nick Pivetta,SDP,1.0,2.0,4.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,66.0,12.0,8.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,24.0
11,Cristopher Sánchez,PHI,2.0,1.0,2.014925401814666,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.1,95.0,24.0,7.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,31.0
12,Max Fried,NYY,2.0,1.0,2.9700001132965133,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,33.1,127.0,19.0,11.0,11.0,1.0,8.0,0.0,2.0,0.0,0.0,23.0
13,Kevin Gausman,TOR,0.0,1.0,2.4179104821775987,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.1,88.0,14.0,7.0,6.0,2.0,5.0,0.0,0.0,0.0,1.0,31.0
14,Tyler Glasnow,LAD,2.0,0.0,3.24,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,95.0,15.0,9.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,29.0
15,Dylan Cease,TOR,0.0,0.0,1.7419355374593284,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,20.2,89.0,14.0,6.0,4.0,0.0,12.0,0.0,1.0,0.0,0.0,32.0
16,Reid Detmers,LAA,1.0,1.0,3.5735296623517248,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.2,94.0,18.0,10.0,9.0,1.0,6.0,0.0,2.0,0.0,0.0,26.0
17,Shota Imanaga,CHC,1.0,1.0,2.4545454545454546,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,82.0,12.0,6.0,6.0,2.0,5.0,0.0,0.0,2.0,0.0,31.0
18,Keider Montero,DET,1.0,1.0,3.3061225133257985,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.1,63.0,12.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
19,Tarik Skubal,DET,2.0,2.0,2.2191781981574383,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,24.1,95.0,19.0,7.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,23.0
20,Logan Gilbert,SEA,1.0,3.0,4.034482891295956,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,115.0,29.0,13.0,13.0,3.0,5.0,0.0,1.0,2.0,0.0,32.0
21,Nolan McLean,NYM,1.0,1.0,2.281690202140545,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,23.2,89.0,10.0,7.0,6.0,1.0,8.0,0.0,1.0,0.0,0.0,28.0
22,Landen Roupp,SFG,3.0,1.0,2.3823530079996726,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,22.2,90.0,15.0,8.0,6.0,0.0,7.0,0.0,2.0,1.0,0.0,24.0
23,Shohei Ohtani,LAD,2.0,0.0,0.5,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,69.0,7.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,18.0
24,Emerson Hancock,SEA,2.0,1.0,2.281690202140545,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,23.2,85.0,14.0,6.0,6.0,2.0,4.0,0.0,1.0,1.0,0.0,25.0
25,Trevor Rogers,BAL,2.0,1.0,3.0422536028540597,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,23.2,98.0,24.0,8.0,8.0,1.0,6.0,0.0,1.0,2.0,0.0,20.0
26,Randy Vásquez,SDP,1.0,0.0,2.4923077654415353,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,21.2,90.0,20.0,6.0,6.0,1.0,8.0,0.0,1.0,0.0,0.0,25.0
27,Bryce Elder,ATL,2.0,1.0,0.7714286134680947,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,23.1,91.0,17.0,4.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,23.0
28,Framber Valdez,DET,1.0,1.0,3.75,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,104.0,23.0,11.0,10.0,0.0,7.0,0.0,1.0,1.0,0.0,13.0
29,Michael Wacha,KCR,2.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,98.0,13.0,3.0,3.0,2.0,8.0,0.0,1.0,0.0,0.0,23.0
30,Mick Abel,MIN,1.0,1.0,2.1176470588235294,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,73.0,14.0,4.0,4.0,0.0,6.0,0.0,3.0,0.0,0.0,19.0
31,Casey Mize,DET,1.0,1.0,2.779411959606897,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.2,94.0,20.0,7.0,7.0,2.0,7.0,0.0,1.0,0.0,0.0,25.0
32,Sandy Alcantara,MIA,2.0,1.0,2.670329698314559,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,30.1,116.0,20.0,10.0,9.0,3.0,6.0,0.0,1.0,1.0,0.0,22.0
33,Jesús Luzardo,PHI,1.0,3.0,7.941177027448277,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.2,98.0,28.0,21.0,20.0,3.0,5.0,0.0,0.0,3.0,0.0,30.0
34,Davis Martin,CHW,3.0,1.0,2.16,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,94.0,19.0,6.0,6.0,2.0,6.0,0.0,1.0,1.0,0.0,19.0
35,Edward Cabrera,CHC,2.0,0.0,2.3823530079996726,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.2,91.0,18.0,6.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,17.0
36,Rhett Lowder,CIN,2.0,1.0,3.5217392764605346,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,94.0,19.0,10.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,15.0
37,Yoshinobu Yamamoto,LAD,2.0,1.0,2.103896156011214,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,25.2,95.0,18.0,6.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,21.0
38,Michael Soroka,ARI,4.0,0.0,2.779411842666285,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.2,93.0,18.0,7.0,7.0,2.0,6.0,0.0,3.0,0.0,0.0,28.0
39,Carmen Mlodzinski,PIT,0.0,0.0,2.5116281297930456,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,64.0,17.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0
40,Steven Matz,TBR,3.0,0.0,3.7968750565778473,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21.1,85.0,16.0,9.0,9.0,2.0,6.0,0.0,1.0,2.0,0.0,21.0
41,Logan Webb,SFG,2.0,2.0,5.4,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,132.0,31.0,19.0,18.0,2.0,11.0,0.0,1.0,0.0,0.0,27.0
42,Aaron Nola,PHI,1.0,1.0,4.029850803629332,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.1,93.0,23.0,10.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,24.0
43,Hunter Brown,HOU,1.0,0.0,0.843750050291422,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.2,43.0,5.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0
44,Joe Boyle,TBR,0.0,1.0,5.170212975774439,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.2,66.0,11.0,11.0,9.0,1.0,6.0,0.0,0.0,1.0,0.0,16.0
45,Kyle Bradish,BAL,1.0,2.0,5.49152560125854,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,88.0,22.0,14.0,12.0,1.0,10.0,0.0,0.0,0.0,0.0,21.0
46,Kris Bubic,KCR,2.0,1.0,3.9705883466661214,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.2,89.0,14.0,10.0,10.0,2.0,10.0,0.0,0.0,3.0,0.0,26.0
47,Chase Burns,CIN,1.0,1.0,2.4179104821775987,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.1,88.0,15.0,6.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,22.0
48,Jacob deGrom,TEX,1.0,0.0,2.2881356671910584,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,19.2,78.0,15.0,5.0,5.0,3.0,6.0,1.0,0.0,2.0,0.0,25.0
49,MacKenzie Gore,TEX,2.0,1.0,3.000000136239194,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,85.0,12.0,7.0,7.0,2.0,11.0,0.0,1.0,0.0,0.0,30.0
50,Joey Cantillo,CLE,1.0,0.0,2.6129034267628137,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,20.2,81.0,16.0,7.0,6.0,2.0,9.0,0.0,0.0,2.0,0.0,24.0
51,David Peterson,NYM,0.0,3.0,6.406779868134963,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,97.0,26.0,15.0,14.0,1.0,10.0,0.0,1.0,1.0,0.0,21.0
52,Lance McCullers Jr.,HOU,1.0,0.0,5.869565339079428,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.1,61.0,14.0,10.0,10.0,1.0,6.0,0.0,0.0,0.0,0.0,17.0
53,Drew Rasmussen,TBR,1.0,0.0,1.125,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,59.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0
54,Bailey Ober,MIN,2.0,0.0,5.49152560125854,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,85.0,20.0,12.0,12.0,2.0,5.0,0.0,1.0,0.0,0.0,14.0
55,Luis Castillo,SEA,0.0,1.0,5.400000374533939,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,18.1,88.0,26.0,15.0,11.0,1.0,7.0,0.0,1.0,0.0,0.0,17.0
56,Walker Buehler,SDP,1.0,1.0,4.58490582537762,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.2,73.0,16.0,9.0,9.0,1.0,6.0,0.0,1.0,0.0,0.0,18.0
57,Ranger Suarez,BOS,1.0,1.0,3.223880642903465,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.1,86.0,18.0,8.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,15.0
58,Max Meyer,MIA,1.0,0.0,4.118644200943905,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,88.0,17.0,9.0,9.0,2.0,9.0,0.0,0.0,0.0,0.0,20.0
59,Mitch Keller,PIT,1.0,1.0,2.8636363636363638,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,90.0,18.0,7.0,7.0,1.0,9.0,0.0,1.0,0.0,1.0,14.0
60,Andrew Painter,PHI,1.0,0.0,4.821428735645456,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,42.0,13.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
61,Michael King,SDP,2.0,1.0,2.779411842666285,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.2,93.0,16.0,8.0,7.0,1.0,10.0,0.0,3.0,0.0,0.0,20.0
62,George Kirby,SEA,2.0,2.0,3.253012122947328,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,27.2,103.0,20.0,10.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0,22.0
63,Matthew Boyd,CHC,1.0,1.0,6.750000919614645,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,37.0,8.0,8.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0
64,Jack Flaherty,DET,0.0,1.0,4.050000193119058,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,88.0,14.0,10.0,9.0,1.0,14.0,0.0,3.0,1.0,0.0,21.0
65,Janson Junk,MIA,0.0,2.0,4.500000195069755,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,93.0,23.0,13.0,11.0,2.0,6.0,0.0,1.0,1.0,0.0,15.0
66,Aaron Civale,ATH,2.0,1.0,3.540983827996415,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,89.0,21.0,8.0,8.0,2.0,6.0,1.0,1.0,2.0,0.0,16.0
67,Connelly Early,BOS,1.0,0.0,2.2881356671910584,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,19.2,84.0,15.0,5.0,5.0,1.0,10.0,0.0,2.0,2.0,0.0,20.0
68,Ryan Weathers,NYY,0.0,2.0,4.285714480341706,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,90.0,22.0,10.0,10.0,4.0,7.0,0.0,0.0,2.0,0.0,28.0
69,Will Warren,NYY,1.0,0.0,2.4545457524701946,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,80.0,17.0,9.0,5.0,2.0,6.0,0.0,1.0,1.0,0.0,20.0
70,Jacob Misiorowski,MIL,1.0,1.0,3.323077020588714,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21.2,88.0,13.0,8.0,8.0,4.0,9.0,0.0,2.0,0.0,0.0,33.0
71,Dustin May,STL,2.0,2.0,6.982758735504787,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,19.1,84.0,27.0,16.0,15.0,2.0,4.0,0.0,2.0,2.0,0.0,15.0
72,Grant Holmes,ATL,1.0,1.0,3.323077020588714,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,21.2,88.0,14.0,8.0,8.0,2.0,10.0,0.0,0.0,1.0,0.0,17.0
73,Jack Kochanowicz,LAA,2.0,0.0,3.471428760606426,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,23.1,99.0,14.0,10.0,9.0,1.0,15.0,0.0,0.0,1.0,0.0,18.0
74,Freddy Peralta,NYM,1.0,1.0,3.8571430323075355,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,89.0,16.0,9.0,9.0,3.0,8.0,0.0,1.0,1.0,0.0,25.0
75,Kyle Freeland,COL,1.0,1.0,2.2978724336775285,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.2,67.0,13.0,4.0,4.0,1.0,4.0,0.0,4.0,1.0,0.0,13.0
76,Cade Povich,BAL,1.0,0.0,1.350000128746045,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.2,24.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
77,Shane Baz,BAL,0.0,2.0,4.909091121894278,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,97.0,26.0,12.0,12.0,2.0,8.0,0.0,2.0,0.0,0.0,19.0
78,Justin Wrobleski,LAD,2.0,0.0,0.6923076923076923,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
79,Chad Patrick,MIL,1.0,0.0,1.1250000670552294,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,63.0,12.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,9.0
80,Michael McGreevy,STL,1.0,1.0,2.4923077654415353,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,21.2,82.0,15.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0
81,Adrian Houser,SFG,0.0,2.0,5.062500301748532,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0,20.0,11.0,9.0,1.0,5.0,0.0,0.0,2.0,0.0,10.0
82,Paul Skenes,PIT,3.0,1.0,4.000000225173115,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,72.0,10.0,8.0,8.0,2.0,7.0,0.0,2.0,0.0,0.0,18.0
83,Andrew Abbott,CIN,0.0,2.0,5.850000278949751,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,90.0,26.0,13.0,13.0,2.0,8.0,0.0,0.0,0.0,0.0,12.0
84,Grant Taylor,CHW,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
85,Luis Severino,ATH,0.0,2.0,5.58620698840383,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,86.0,17.0,12.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,24.0
86,Clay Holmes,NYM,2.0,2.0,1.9565218202558525,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,93.0,16.0,5.0,5.0,2.0,9.0,0.0,1.0,2.0,1.0,16.0
87,Tanner Bibee,CLE,0.0,2.0,4.808219429341117,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,24.1,107.0,28.0,13.0,13.0,4.0,9.0,0.0,0.0,2.0,0.0,23.0
88,Noah Cameron,KCR,1.0,0.0,3.937500234693303,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,67.0,16.0,7.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,14.0
89,Jack Leiter,TEX,1.0,1.0,4.868852763495071,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,20.1,90.0,21.0,11.0,11.0,3.0,9.0,0.0,1.0,0.0,0.0,24.0
90,Coleman Crow,MIL,0.0,0.0,3.375000201165688,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,21.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
91,Nick Martinez,TBR,0.0,1.0,2.454545560947139,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,92.0,20.0,6.0,6.0,3.0,7.0,0.0,0.0,0.0,0.0,14.0
92,Nathan Eovaldi,TEX,2.0,2.0,5.400000158456661,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,21.2,97.0,25.0,13.0,13.0,4.0,7.0,0.0,1.0,3.0,0.0,26.0
